LEI_Code,Name,Country,Country_code
529900ODI3047E2LIV03,Nordea Bank Abp,Finland,FI
7437003B5WFBOIEFY714,OP Osuuskunta,Finland,FI
R0MUWSFPU8MPRO8K5P83,BNP Paribas,France,FR
969500STN7T9MRUMJ267,Bpifrance,France,FR
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,France,FR
FR9695005MSX1OYEMGDF,Groupe BPCE,France,FR
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,France,FR
F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,France,FR
96950066U5XAAIRCPA78,La Banque Postale,France,FR
96950001WI712W7PQG45,RCI Banque,France,FR
549300HFEHJOXGE4ZE63,SFIL S.A.,France,FR
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,France,FR
213800DBQIB6VBNU5C64,Alpha Bank S.A.,Greece,GR
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,Greece,GR
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",Greece,GR
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,Greece,GR
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,Hungary,HU
529900W3MOO00A18X956,OTP-csoport,Hungary,HU
635400AKJBGNS5WNQL34,AIB Group plc,Ireland,IE
635400C8EK6DRI12LJ39,Bank of Ireland Group plc,Ireland,IE
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,Ireland,IE
7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM S.P.A.,Italy,IT
J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,Italy,IT
815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,Italy,IT
N747OI7JINV7RUUH6190,BPER Banca S.p.A.,Italy,IT
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.,Italy,IT
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,Italy,IT
815600AD83B2B6317788,CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,Italy,IT
549300L7YCATGO57ZE10,FINECOBANK S.P.A.,Italy,IT
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,Italy,IT
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,Italy,IT
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,Italy,IT
549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",Italy,IT
5493009EIBTCB1X12G89,LGT Group Foundation,Liechtenstein,LI
529900OE1FOAM50XLP72,Liechtensteinische Landesbank AG,Liechtenstein,LI
549300TK038P6EV4YU51,Akcinė bendrovė Šiaulių bankas,Lithuania,LT
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,Lithuania,LT
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg,Luxembourg,LU
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",Latvia,LV
529900RWC8ZYB066JF16,Bank of Valletta Plc,Malta,MT
213800TC9PZRBHMJW403,MDB Group Limited,Malta,MT
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,Netherlands,NL
529900GGYMNGRQTDOO93,BNG Bank N.V.,Netherlands,NL
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.2,Netherlands,NL
549300NYKK9MWM7GGW15,ING Groep N.V.,Netherlands,NL
724500JIWG886A9RRT57,RBS Holdings N.V.,Netherlands,NL
724500A1FNICHSDF2I11,de Volksbank N.V.,Netherlands,NL
549300GKFG0RYRRQ1414,DNB BANK ASA,Norway,NO
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,Norway,NO
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,Norway,NO
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki S.A.,Poland,PL
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski S.A.,Poland,PL
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",Portugal,PT
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",Portugal,PT
222100K6QL2V4MLHWQ08,LSF NANI INVESTMENTS S.A R.L.,Portugal,PT
549300RG3H390KEL8896,Banca Transilvania,Romania,RO
2138008AVF4W7FMW8W87,CEC BANK SA,Romania,RO
EV2XZWMLLXF2QRX0CD47,Kommuninvest - Grupp,Sweden,SE
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - gruppen,Sweden,SE
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - Grupp,Sweden,SE
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,Sweden,SE
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,Sweden,SE
M312WZV08Y7LYUC71685,Swedbank - Grupp,Sweden,SE
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,Slovenia,SI
5493001BABFV7P27OW30,"Nova Ljubljanska Banka d.d., Ljubljana",Slovenia,SI
